species,country,pop_size_bin,pop_trend_bin,overall_impact_val,range,g_rank
MOLOSSUS_AZTECUS,Mexico,NA,NA,NA,NA,G5
MOLOSSUS_NIGRICANS,Mexico,NA,NA,NA,NA,G5
MOLOSSUS_SINALOAE,Mexico,NA,NA,NA,NA,G5
NYCTINOMOPS_LATICAUDATUS,Mexico,NA,NA,NA,NA,G5
EPTESICUS_FURINALIS,Mexico,NA,NA,NA,NA,G4
MYOTIS_CALIFORNICUS,Mexico,NA,NA,NA,NA,G5
MYOTIS_PILOSATIBIALIS,Mexico,NA,NA,NA,NA,G5
MYOTIS_NIGRICANS,Mexico,NA,NA,NA,NA,G5
RHOGEESSA_AENEUS,Mexico,NA,NA,NA,NA,G4
RHOGEESSA_PARVULA,Mexico,NA,NA,NA,NA,G4
RHOGEESSA_TUMIDA,Mexico,NA,NA,NA,NA,G4
CHOERONYCTERIS_MEXICANA,Mexico,NA,NA,NA,NA,G2
CHROTOPTERUS_AURITUS,Mexico,NA,NA,NA,NA,G2
LEPTONYCTERIS_NIVALIS,Mexico,NA,NA,NA,NA,G2
LICHONYCTERIS_OBSCURA,Mexico,NA,NA,NA,NA,G2
MUSONYCTERIS_HARRISONI,Mexico,NA,NA,NA,NA,G1
TRACHOPS_CIRRHOSUS,Mexico,NA,NA,NA,NA,G2
VAMPYRUM_SPECTRUM,Mexico,NA,NA,NA,NA,G2
NOCTILIO_ALBIVENTRIS,Mexico,NA,NA,NA,NA,G2
MYOTIS_PLANICEPS,Mexico,NA,NA,NA,NA,G1
MYOTIS_VIVESI,Mexico,NA,NA,NA,NA,G2
PHYLLOPS_FALCATUS,Mexico,NA,NA,NA,NA,G1
CHIRODERMA_SCOPAEUM,Mexico,NA,NA,NA,NA,G3
