Species,Question,Outliers ,Id,,,,,,,,,,,,,,,,,,,,,,
Corynorhinus mexicanus,PT,x,qexQ7smFsz1oQIt,,,,,,,,,,,,,,,,,,,,,,
Cynomops mexicanus,PT,x,Oug0a3aapOqUZMY,,,,,,,,,,,,,,,,,,,,,,
Dermanura azteca,PT,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Dermanura azteca,PT,x,EA6eaCxrJPUmow5,,,,,,,,,,,,,,,,,,,,,,
Diaemus youngi,PT,x,LsgX2odo0mnYaP5,,,,,,,,,,,,,,,,,,,,,,
Diaemus youngi,PT,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Uroderma magnirostrum,PT,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Eumops perotis,PT,x,7r7Ys7dDyQVMFek,,,,,,,,,,,,,,,,,,,,,,
Glossophaga morenoi,PT,x,XwifiV4liynpTUM,,,,,,,,,,,,,,,,,,,,,,
Glyphonycteris silvestris,PT,x,C7vRyRMQgycbE9a,,,,,,,,,,,,,,,,,,,,,,
Hylonycteris underwoodi,PT,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Idionycteris phyllotis,PT,x,6eGTOMfYfRNKfor,,,,,,,,,,,,,,,,,,,,,,
Lampronycteris brachyotis,PT,x,C7vRyRMQgycbE9a,,,,,,,,,,,,,,,,,,,,,,
Lasiurus cinereus,PT,x,DaJhXwN6qank1rN,,,,,,,,,,,,,,,,,,,,,,
Lasiurus intermedius,PT,x,7r7Ys7dDyQVMFek,,,,,,,,,,,,,,,,,,,,,,
Eumops perotis,PT,x,7r7Ys7dDyQVMFek,,,,,,,,,,,,,,,,,,,,,,
Euderma maculatum,PT,x,6eGTOMfYfRNKfor,,,,,,,,,,,,,,,,,,,,,,
Lasionycteris noctivagans,PT,x,3YYLpKBrhddOTqp,,,,,,,,,,,,,,,,,,,,,,
Lasiurus xanthinus,PT,x,6eGTOMfYfRNKfor,,,,,,,,,,,,,,,,,,,,,,
Lasiurus xanthinus,PT,x,Oug0a3aapOqUZMY,,,,,,,,,,,,,,,,,,,,,,
Leptonycteris yerbaguensis,PT,x,DaJhXwN6qank1rN,,,,,,,,,,,,,,,,,,,,,,
Lophostoma brasiliense,PT,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Lophostoma brasiliense,PT,x,OSxvs7oEKAPZPv6,,,,,,,,,,,,,,,,,,,,,,
Mimon cozumelae,PT,x,0Jt806BefXEix5s,,,,,,,,,,,,,,,,,,,,,,
Mimon cozumelae,PT,x,xSCXILAei4NZMw2,,,,,,,,,,,,,,,,,,,,,,
Micronycteris schmidtorum,PT,x,C7vRyRMQgycbE9a,,,,,,,,,,,,,,,,,,,,,,
Micronycteris schmidtorum,PT,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Myotis auriculus,PT,x,Oug0a3aapOqUZMY,,,,,,,,,,,,,,,,,,,,,,
Myotis auriculus,PT,x,3YYLpKBrhddOTqp,,,,,,,,,,,,,,,,,,,,,,
Myotis elegans,PT,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Vampyressa thyone,PT,x,XwifiV4liynpTUM,,,,,,,,,,,,,,,,,,,,,,
Myotis velifer,PT,x,7r7Ys7dDyQVMFek,,,,,,,,,,,,,,,,,,,,,,
Myotis velifer,PT,x,DaJhXwN6qank1rN,,,,,,,,,,,,,,,,,,,,,,
Myotis volans,PT,x,Oug0a3aapOqUZMY,,,,,,,,,,,,,,,,,,,,,,
Myotis volans,PT,x,6eGTOMfYfRNKfor,,,,,,,,,,,,,,,,,,,,,,
Noctilio leporinus,PT,x,xSCXILAei4NZMw2,,,,,,,,,,,,,,,,,,,,,,
Noctilio leporinus,PT,x,GbaxteI1ntVv5RE,,,,,,,,,,,,,,,,,,,,,,
Nyctinomops aurispinosus,PT,x,C7vRyRMQgycbE9a,,,,,,,,,,,,,,,,,,,,,,
Nyctinomops aurispinosus,PT,x,6eGTOMfYfRNKfor,,,,,,,,,,,,,,,,,,,,,,
Nyctinomops femorosaccus,PT,x,6eGTOMfYfRNKfor,,,,,,,,,,,,,,,,,,,,,,
Nycticeius humeralis,PT,x,6eGTOMfYfRNKfor,,,,,,,,,,,,,,,,,,,,,,
Perimyotis subflavus,PT,x,6eGTOMfYfRNKfor,,,,,,,,,,,,,,,,,,,,,,
Phylloderma stenops,PT,x,C7vRyRMQgycbE9a,,,,,,,,,,,,,,,,,,,,,,
Promops centralis,PT,x,Wlx2mlaEC2phUPz,,,,,,,,,,,,,,,,,,,,,,
Pteronotus gymnonotus,PT,x,FDFyaiOK1meiZh3,,,,,,,,,,,,,,,,,,,,,,
Uroderma davisi,PT,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Uroderma davisi,PT,x,xSCXILAei4NZMw2,,,,,,,,,,,,,,,,,,,,,,
Eptesicus brasiliensis,PT,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Eptesicus brasiliensis,PT,x,7r7Ys7dDyQVMFek,,,,,,,,,,,,,,,,,,,,,,
